index,value
1968 Jul,323.98
1968 Aug,321.95
1968 Sep,320.18
1968 Oct,320.09
1968 Nov,321.16
1968 Dec,322.74
1969 Jan,323.83
1969 Feb,324.26
1969 Mar,325.47
1969 Apr,326.5
1969 May,327.21
1969 Jun,326.54
1969 Jul,325.72
1969 Aug,323.5
1969 Sep,322.22
1969 Oct,321.62
1969 Nov,322.69
1969 Dec,323.95
1970 Jan,324.89
1970 Feb,325.82
1970 Mar,326.77
1970 Apr,327.97
1970 May,327.91
1970 Jun,327.5
1970 Jul,326.18
1970 Aug,324.53
1970 Sep,322.93
1970 Oct,322.9
1970 Nov,323.85
1970 Dec,324.96
1971 Jan,326.01
1971 Feb,326.51
1971 Mar,327.01
1971 Apr,327.62
1971 May,328.76
1971 Jun,328.4
1971 Jul,327.2
1971 Aug,325.27
1971 Sep,323.2
1971 Oct,323.4
1971 Nov,324.63
1971 Dec,325.85
1972 Jan,326.6
1972 Feb,327.47
1972 Mar,327.58
1972 Apr,329.56
1972 May,329.9
1972 Jun,328.92
1972 Jul,327.88
1972 Aug,326.16
1972 Sep,324.68
1972 Oct,325.04
1972 Nov,326.34
1972 Dec,327.39
1973 Jan,328.37
1973 Feb,329.4
1973 Mar,330.14
1973 Apr,331.33
1973 May,332.31
1973 Jun,331.9
1973 Jul,330.7
1973 Aug,329.15
1973 Sep,327.35
1973 Oct,327.02
1973 Nov,327.99
1973 Dec,328.48
1974 Jan,329.18
1974 Feb,330.55
1974 Mar,331.32
1974 Apr,332.48
1974 May,332.92
1974 Jun,332.08
1974 Jul,331.01
1974 Aug,329.23
1974 Sep,327.27
1974 Oct,327.21
1974 Nov,328.29
1974 Dec,329.41
1975 Jan,330.23
1975 Feb,331.25
1975 Mar,331.87
1975 Apr,333.14
1975 May,333.8
1975 Jun,333.43
1975 Jul,331.73
1975 Aug,329.9
1975 Sep,328.4
1975 Oct,328.17
1975 Nov,329.32
1975 Dec,330.59
1976 Jan,331.58
1976 Feb,332.39
1976 Mar,333.33
1976 Apr,334.41
1976 May,334.71
1976 Jun,334.17
1976 Jul,332.89
1976 Aug,330.77
1976 Sep,329.14
1976 Oct,328.78
1976 Nov,330.14
1976 Dec,331.52
1977 Jan,332.75
1977 Feb,333.24
1977 Mar,334.53
1977 Apr,335.9
1977 May,336.57
1977 Jun,336.1
1977 Jul,334.76
1977 Aug,332.59
1977 Sep,331.42
1977 Oct,330.98
1977 Nov,332.24
1977 Dec,333.68
1978 Jan,334.8
1978 Feb,335.22
1978 Mar,336.47
1978 Apr,337.59
1978 May,337.84
1978 Jun,337.72
1978 Jul,336.37
1978 Aug,334.51
1978 Sep,332.6
1978 Oct,332.38
1978 Nov,333.75
1978 Dec,334.78
1979 Jan,336.05
1979 Feb,336.59
1979 Mar,337.79
1979 Apr,338.71
1979 May,339.3
1979 Jun,339.12
1979 Jul,337.56
1979 Aug,335.92
1979 Sep,333.75
1979 Oct,333.7
1979 Nov,335.12
1979 Dec,336.56
1980 Jan,337.84
1980 Feb,338.19
1980 Mar,339.91
1980 Apr,340.6
1980 May,341.29
1980 Jun,341
1980 Jul,339.39
1980 Aug,337.43
1980 Sep,335.72
1980 Oct,335.84
1980 Nov,336.93
1980 Dec,338.04
1981 Jan,339.06
1981 Feb,340.3
1981 Mar,341.21
1981 Apr,342.33
1981 May,342.74
1981 Jun,342.08
1981 Jul,340.32
1981 Aug,338.26
1981 Sep,336.52
1981 Oct,336.68
1981 Nov,338.19
1981 Dec,339.44
1982 Jan,340.57
1982 Feb,341.44
1982 Mar,342.53
1982 Apr,343.39
1982 May,343.96
1982 Jun,343.18
1982 Jul,341.88
1982 Aug,339.65
1982 Sep,337.81
1982 Oct,337.69
1982 Nov,339.09
1982 Dec,340.32
1983 Jan,341.2
1983 Feb,342.35
1983 Mar,342.93
1983 Apr,344.77
1983 May,345.58
1983 Jun,345.14
1983 Jul,343.81
1983 Aug,342.21
1983 Sep,339.69
1983 Oct,339.82
1983 Nov,340.98
1983 Dec,342.82
1984 Jan,343.52
1984 Feb,344.33
1984 Mar,345.11
1984 Apr,346.88
1984 May,347.25
1984 Jun,346.62
1984 Jul,345.22
1984 Aug,343.11
1984 Sep,340.9
1984 Oct,341.18
1984 Nov,342.8
1984 Dec,344.04
1985 Jan,344.79
1985 Feb,345.82
1985 Mar,347.25
1985 Apr,348.17
1985 May,348.74
1985 Jun,348.07
1985 Jul,346.38
1985 Aug,344.51
1985 Sep,342.92
1985 Oct,342.62
1985 Nov,344.06
1985 Dec,345.38
1986 Jan,346.11
1986 Feb,346.78
1986 Mar,347.68
1986 Apr,349.37
1986 May,350.03
1986 Jun,349.37
1986 Jul,347.76
1986 Aug,345.73
1986 Sep,344.68
1986 Oct,343.99
1986 Nov,345.48
1986 Dec,346.72
1987 Jan,347.84
1987 Feb,348.29
1987 Mar,349.23
1987 Apr,350.8
1987 May,351.66
1987 Jun,351.07
1987 Jul,349.33
1987 Aug,347.92
1987 Sep,346.27
1987 Oct,346.18
1987 Nov,347.64
1987 Dec,348.78
1988 Jan,350.25
1988 Feb,351.54
1988 Mar,352.05
1988 Apr,353.41
1988 May,354.04
1988 Jun,353.62
1988 Jul,352.22
1988 Aug,350.27
1988 Sep,348.55
1988 Oct,348.72
1988 Nov,349.91
1988 Dec,351.18
1989 Jan,352.6
1989 Feb,352.92
1989 Mar,353.53
1989 Apr,355.26
1989 May,355.52
1989 Jun,354.97
1989 Jul,353.75
1989 Aug,351.52
1989 Sep,349.64
1989 Oct,349.83
1989 Nov,351.14
1989 Dec,352.37
1990 Jan,353.5
1990 Feb,354.55
1990 Mar,355.23
1990 Apr,356.04
1990 May,357
1990 Jun,356.07
1990 Jul,354.67
1990 Aug,352.76
1990 Sep,350.82
1990 Oct,351.04
1990 Nov,352.69
1990 Dec,354.07
1991 Jan,354.59
1991 Feb,355.63
1991 Mar,357.03
1991 Apr,358.48
1991 May,359.22
1991 Jun,358.12
1991 Jul,356.06
1991 Aug,353.92
1991 Sep,352.05
1991 Oct,352.11
1991 Nov,353.64
1991 Dec,354.89
1992 Jan,355.88
1992 Feb,356.63
1992 Mar,357.72
1992 Apr,359.07
1992 May,359.58
1992 Jun,359.17
1992 Jul,356.94
1992 Aug,354.92
1992 Sep,352.94
1992 Oct,353.23
1992 Nov,354.09
1992 Dec,355.33
1993 Jan,356.63
1993 Feb,357.1
1993 Mar,358.32
1993 Apr,359.41
1993 May,360.23
1993 Jun,359.55
1993 Jul,357.53
1993 Aug,355.48
1993 Sep,353.67
1993 Oct,353.95
1993 Nov,355.3
1993 Dec,356.78
1994 Jan,358.34
1994 Feb,358.89
1994 Mar,359.95
1994 Apr,361.25
1994 May,361.67
1994 Jun,360.94
1994 Jul,359.55
1994 Aug,357.49
1994 Sep,355.84
1994 Oct,356
1994 Nov,357.59
1994 Dec,359.05
1995 Jan,359.98
1995 Feb,361.03
1995 Mar,361.66
1995 Apr,363.48
1995 May,363.82
1995 Jun,363.3
1995 Jul,361.94
1995 Aug,359.5
1995 Sep,358.11
1995 Oct,357.8
1995 Nov,359.61
1995 Dec,360.74
1996 Jan,362.09
1996 Feb,363.29
1996 Mar,364.06
1996 Apr,364.76
1996 May,365.45
1996 Jun,365.01
1996 Jul,363.7
1996 Aug,361.54
1996 Sep,359.51
1996 Oct,359.65
1996 Nov,360.8
1996 Dec,362.38
1997 Jan,363.23
1997 Feb,364.06
1997 Mar,364.61
1997 Apr,366.4
1997 May,366.84
1997 Jun,365.68
1997 Jul,364.52
1997 Aug,362.57
1997 Sep,360.24
1997 Oct,360.83
1997 Nov,362.49
1997 Dec,364.34
